Nome,Capital,Moeda,População,Date Time
Christmas Island,Flying Fish Cove,Dollar,1500,2023-09-02 16:15:20
Cocos Islands,West Island,Dollar,628,2023-09-02 16:15:20
Colombia,Bogota,Peso,44205293,2023-09-02 16:15:20
Comoros,Moroni,Franc,773407,2023-09-02 16:15:20
Cook Islands,Avarua,Dollar,21388,2023-09-02 16:15:20
Costa Rica,San Jose,Colon,4516220,2023-09-02 16:15:20
Croatia,Zagreb,Kuna,4491000,2023-09-02 16:15:20
Cuba,Havana,Peso,11423000,2023-09-02 16:15:20
Curacao,Willemstad,Guilder,141766,2023-09-02 16:15:20
Cyprus,Nicosia,Euro,1102677,2023-09-02 16:15:20
Czech Republic,Prague,Koruna,10476000,2023-09-02 16:15:20
Democratic Republic of the Congo,Kinshasa,Franc,70916439,2023-09-02 16:15:20
Denmark,Copenhagen,Krone,5484000,2023-09-02 16:15:20
Djibouti,Djibouti,Franc,740528,2023-09-02 16:15:21
Dominica,Roseau,Dollar,72813,2023-09-02 16:15:21
Dominican Republic,Santo Domingo,Peso,9823821,2023-09-02 16:15:21
East Timor,Dili,Dollar,1154625,2023-09-02 16:15:21
Ecuador,Quito,Dollar,14790608,2023-09-02 16:15:21
Egypt,Cairo,Pound,80471869,2023-09-02 16:15:21
El Salvador,San Salvador,Dollar,6052064,2023-09-02 16:15:21
Equatorial Guinea,Malabo,Franc,1014999,2023-09-02 16:15:21
Eritrea,Asmara,Nakfa,5792984,2023-09-02 16:15:21
Estonia,Tallinn,Euro,1291170,2023-09-02 16:15:21
Ethiopia,Addis Ababa,Birr,88013491,2023-09-02 16:15:21
Falkland Islands,Stanley,Pound,2638,2023-09-02 16:15:21
Faroe Islands,Torshavn,Krone,48228,2023-09-02 16:15:22
Fiji,Suva,Dollar,875983,2023-09-02 16:15:22
Finland,Helsinki,Euro,5244000,2023-09-02 16:15:22
France,Paris,Euro,64768389,2023-09-02 16:15:22
French Guiana,Cayenne,Euro,195506,2023-09-02 16:15:22
French Polynesia,Papeete,Franc,270485,2023-09-02 16:15:22
French Southern Territories,Port-aux-Francais,Euro,140,2023-09-02 16:15:22
Gabon,Libreville,Franc,1545255,2023-09-02 16:15:22
Gambia,Banjul,Dalasi,1593256,2023-09-02 16:15:22
Georgia,Tbilisi,Lari,4630000,2023-09-02 16:15:22
Germany,Berlin,Euro,81802257,2023-09-02 16:15:22
Ghana,Accra,Cedi,24339838,2023-09-02 16:15:22
Gibraltar,Gibraltar,Pound,27884,2023-09-02 16:15:22
Greece,Athens,Euro,11000000,2023-09-02 16:15:23
Greenland,Nuuk,Krone,56375,2023-09-02 16:15:23
Grenada,St. George's,Dollar,107818,2023-09-02 16:15:23
Guadeloupe,Basse-Terre,Euro,443000,2023-09-02 16:15:23
Guam,Hagatna,Dollar,159358,2023-09-02 16:15:23
Guatemala,Guatemala City,Quetzal,13550440,2023-09-02 16:15:23
Guernsey,St Peter Port,Pound,65228,2023-09-02 16:15:23
Guinea,Conakry,Franc,10324025,2023-09-02 16:15:23
Guinea-Bissau,Bissau,Franc,1565126,2023-09-02 16:15:23
Guyana,Georgetown,Dollar,748486,2023-09-02 16:15:23
Haiti,Port-au-Prince,Gourde,9648924,2023-09-02 16:15:23
Heard Island and McDonald Islands,,Dollar,0,2023-09-02 16:15:23
Honduras,Tegucigalpa,Lempira,7989415,2023-09-02 16:15:24
Hong Kong,Hong Kong,Dollar,6898686,2023-09-02 16:15:24
Hungary,Budapest,Forint,9982000,2023-09-02 16:15:24
Iceland,Reykjavik,Krona,308910,2023-09-02 16:15:24
India,New Delhi,Rupee,1173108018,2023-09-02 16:15:24
Indonesia,Jakarta,Rupiah,242968342,2023-09-02 16:15:24
Iran,Tehran,Rial,76923300,2023-09-02 16:15:24
Iraq,Baghdad,Dinar,29671605,2023-09-02 16:15:24
Ireland,Dublin,Euro,4622917,2023-09-02 16:15:24
Isle of Man,"Douglas, Isle of Man",Pound,75049,2023-09-02 16:15:24
Israel,Jerusalem,Shekel,7353985,2023-09-02 16:15:24
Italy,Rome,Euro,60340328,2023-09-02 16:15:24
Ivory Coast,Yamoussoukro,Franc,21058798,2023-09-02 16:15:24
Jamaica,Kingston,Dollar,2847232,2023-09-02 16:15:25
Japan,Tokyo,Yen,127288000,2023-09-02 16:15:25
Jersey,Saint Helier,Pound,90812,2023-09-02 16:15:25
Jordan,Amman,Dinar,6407085,2023-09-02 16:15:25
Kazakhstan,Astana,Tenge,15340000,2023-09-02 16:15:25
Kenya,Nairobi,Shilling,40046566,2023-09-02 16:15:25
Kiribati,Tarawa,Dollar,92533,2023-09-02 16:15:25
Kosovo,Pristina,Euro,1800000,2023-09-02 16:15:25
Kuwait,Kuwait City,Dinar,2789132,2023-09-02 16:15:25
Kyrgyzstan,Bishkek,Som,5508626,2023-09-02 16:15:25
Laos,Vientiane,Kip,6368162,2023-09-02 16:15:25
Latvia,Riga,Euro,2217969,2023-09-02 16:15:25
Lebanon,Beirut,Pound,4125247,2023-09-02 16:15:26
Lesotho,Maseru,Loti,1919552,2023-09-02 16:15:26
Liberia,Monrovia,Dollar,3685076,2023-09-02 16:15:26
Libya,Tripolis,Dinar,6461454,2023-09-02 16:15:26
Liechtenstein,Vaduz,Franc,35000,2023-09-02 16:15:26
Lithuania,Vilnius,Litas,3565000,2023-09-02 16:15:26
Luxembourg,Luxembourg,Euro,497538,2023-09-02 16:15:26
Macao,Macao,Pataca,449198,2023-09-02 16:15:26
Macedonia,Skopje,Denar,2062294,2023-09-02 16:15:26
Madagascar,Antananarivo,Ariary,21281844,2023-09-02 16:15:26
Malawi,Lilongwe,Kwacha,15447500,2023-09-02 16:15:26
Malaysia,Kuala Lumpur,Ringgit,28274729,2023-09-02 16:15:26
Maldives,Male,Rufiyaa,395650,2023-09-02 16:15:26
Mali,Bamako,Franc,13796354,2023-09-02 16:15:27
Malta,Valletta,Euro,403000,2023-09-02 16:15:27
Marshall Islands,Majuro,Dollar,65859,2023-09-02 16:15:27
Martinique,Fort-de-France,Euro,432900,2023-09-02 16:15:27
Mauritania,Nouakchott,Ouguiya,3205060,2023-09-02 16:15:27
Mauritius,Port Louis,Rupee,1294104,2023-09-02 16:15:27
Mayotte,Mamoudzou,Euro,159042,2023-09-02 16:15:27
Mexico,Mexico City,Peso,112468855,2023-09-02 16:15:27
Micronesia,Palikir,Dollar,107708,2023-09-02 16:15:27
Moldova,Chisinau,Leu,4324000,2023-09-02 16:15:27
Monaco,Monaco,Euro,32965,2023-09-02 16:15:27
Mongolia,Ulan Bator,Tugrik,3086918,2023-09-02 16:15:27
Montenegro,Podgorica,Euro,666730,2023-09-02 16:15:27
